Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Trunk/spine,25-34,8812,45100.0,5026.750271566668,0.11139723777002335,45100.0,True,passes conservative screen,18.5,0.8062769289859408,0.04350007581863262,8
Trunk/spine,35-44,6458,34600.0,3745.2512337261373,0.10812498922813575,34600.0,True,passes conservative screen,21.6,0.9973292541172817,0.046215847056594025,8
Trunk/spine,45-54,5303,29400.0,3671.563524257614,0.12505293452972813,29400.0,True,passes conservative screen,25.1,1.321071715752701,0.05265273438591765,8
Trunk/spine,55-64,4728,27300.0,4849.136515903355,0.17732159123432867,27300.0,True,passes conservative screen,28.1,1.6709032068480418,0.0594241632360769,8
Trunk/spine,65-74,3970,25400.0,7429.423660053569,0.29267884743861483,25400.0,True,passes conservative screen,29.3,2.3723873216050135,0.08102624217734068,8
Trunk/spine,75+,2939,19500.0,5925.501897557329,0.3045470886958653,19500.0,True,passes conservative screen,31.8,1.9631541862980975,0.06169784145705845,8
Hip/thigh,0-4,343,,406.84999109522226,0.38253569703625545,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.5300318224352295,0.22998119756115415,8
Hip/thigh,5-9,1190,3700.0,789.48836188496,0.21379562375502215,3700.0,True,passes conservative screen,2.0,0.24333890556238028,0.12165793027284191,8
Hip/thigh,10-14,2499,7800.0,1335.4807313270367,0.1709488606147857,7800.0,True,passes conservative screen,1.4,0.139885189886161,0.09899823252528792,8
Hip/thigh,15-17,1715,6300.0,913.8713200787314,0.1456825866146414,6300.0,True,passes conservative screen,1.6,0.16795929440657273,0.10427839866665758,8
Hip/thigh,18-24,1171,5800.0,789.9833385301941,0.13675342812948146,5800.0,True,passes conservative screen,1.9,0.1962217011438124,0.10488089480336388,8
Hip/thigh,25-34,963,4900.0,733.8374508880853,0.15080753002941769,4900.0,True,passes conservative screen,2.0,0.25151590334852836,0.12583668668991674,8
Hip/thigh,35-44,586,3200.0,555.5647992129452,0.17339944977001023,3200.0,True,passes conservative screen,2.0,0.2801234906477459,0.1403362157575371,8
Hip/thigh,45-54,423,2400.0,422.4358870025272,0.1739790715695962,2400.0,True,passes conservative screen,2.1,0.297605183120704,0.1434261659072208,8
Hip/thigh,55-64,352,2100.0,441.1024883786533,0.21250948803497732,2100.0,True,passes conservative screen,2.1,0.3809928808981486,0.1785131655681033,8
Hip/thigh,65-74,255,1500.0,379.4944596564176,0.25738879857364344,1500.0,True,passes conservative screen,1.7,0.34566623539932695,0.20325678615806325,8
Hip/thigh,75+,206,1500.0,396.97500643675033,0.27256190866232444,1500.0,True,passes conservative screen,2.4,0.5352442702331874,0.22471924821273315,8
Knee,0-4,187,,258.80357135880064,0.3793679405551255,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.43072929976176794,0.2913717924130737,8
Knee,5-9,2196,7600.0,1488.8753647093229,0.19699043113591364,7600.0,True,passes conservative screen,4.1,0.37601321660105647,0.09184715137757585,8
Knee,10-14,13322,48600.0,6777.162214187464,0.13942852021375446,48600.0,True,passes conservative screen,8.8,0.33668279392250633,0.03829585585358418,8
Knee,15-17,10621,41800.0,5166.427738290762,0.12358024790158186,41800.0,True,passes conservative screen,10.7,0.38385241751737825,0.035759439175506974,8
Knee,18-24,7208,34500.0,3236.232626000828,0.09375486434690164,34500.0,True,passes conservative screen,11.2,0.4659017206664434,0.04167517665223109,8
Knee,25-34,5528,27400.0,2562.9259332109136,0.09349667366161216,27400.0,True,passes conservative screen,11.3,0.4977058377779896,0.0442029758763317,8
Knee,35-44,3091,16400.0,1730.0921428155932,0.10577193010554978,16400.0,True,passes conservative screen,10.2,0.6274766375676357,0.06157522307893315,8
