Activity,Cluster_Region,Source_Year,n,estimate,cv_approx,annual_pass
Football,Other/systemic,2019,114,4400.0,0.17181392611074928,True
Soccer,Head/neck,2019,1369,37300.0,0.14251731330494366,True
Soccer,Upper limb,2019,1800,46000.0,0.1697046787081832,True
Soccer,Trunk/spine,2019,546,16600.0,0.15402497761693928,True
Soccer,Lower limb,2019,2772,85400.0,0.1518244719110217,True
Soccer,Other/systemic,2019,59,2100.0,0.26982578988526823,True
Swimming/diving,Head/neck,2019,2648,98300.0,0.24754961259727495,True
Swimming/diving,Upper limb,2019,453,18600.0,0.14720760795020008,True
Swimming/diving,Trunk/spine,2019,451,19000.0,0.15974585998871177,True
Swimming/diving,Lower limb,2019,893,36100.0,0.21642523585552345,True
Swimming/diving,Other/systemic,2019,513,16700.0,0.3081965203964216,True
Baseball/softball,Head/neck,2019,1719,57000.0,0.10647030167612204,True
Baseball/softball,Upper limb,2019,1217,46200.0,0.11831088870178319,True
Baseball/softball,Trunk/spine,2019,288,10500.0,0.15631689879549784,True
Baseball/softball,Lower limb,2019,1008,39500.0,0.11405878003955146,True
Baseball/softball,Other/systemic,2019,55,2600.0,0.27813288458407315,True
Weight training,Head/neck,2019,287,11000.0,0.11272621420061579,True
Weight training,Upper limb,2019,780,30500.0,0.11431074740683297,True
Weight training,Trunk/spine,2019,860,35200.0,0.11498035941193675,True
Weight training,Lower limb,2019,461,17900.0,0.09938440105851175,True
Weight training,Other/systemic,2019,45,2000.0,0.24768299981472622,True
Other sport/recreation,Head/neck,2019,665,18200.0,0.14761816202601485,True
Other sport/recreation,Upper limb,2019,825,27700.0,0.14954987540833878,True
Other sport/recreation,Trunk/spine,2019,256,8900.0,0.15174328370101636,True
Other sport/recreation,Lower limb,2019,1102,36200.0,0.1695072613198301,True
Other sport/recreation,Other/systemic,2019,76,,0.3333848263001224,False
Combat sports,Head/neck,2019,536,16700.0,0.1218102455343709,True
Combat sports,Upper limb,2019,890,31100.0,0.10567534992059759,True
Combat sports,Trunk/spine,2019,262,10600.0,0.095617349912129,True
Combat sports,Lower limb,2019,542,18300.0,0.11833541994205084,True
Combat sports,Other/systemic,2019,22,,0.2963612365351003,False
Other ball sports,Head/neck,2019,601,18200.0,0.1424589173902157,True
Other ball sports,Upper limb,2019,678,23300.0,0.1636812569585817,True
Other ball sports,Trunk/spine,2019,166,7500.0,0.2631657111442409,True
Other ball sports,Lower limb,2019,565,21900.0,0.1460040412072656,True
Other ball sports,Other/systemic,2019,36,1600.0,0.3291282045231785,True
Gymnastics/cheerleading,Head/neck,2019,533,16100.0,0.18154525290907367,True
Gymnastics/cheerleading,Upper limb,2019,721,20000.0,0.1593942722047845,True
