Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Wrist/hand,18-24,9959,41700.0,4409.717729024147,0.1056429969493993,41700.0,True,passes conservative screen,13.2,0.5665130771830098,0.04306526817617975,10
Wrist/hand,25-34,7052,29900.0,2590.496198068817,0.08674399931401978,29900.0,True,passes conservative screen,12.1,0.5947835001571485,0.04902119264458957,10
Wrist/hand,35-44,4197,19300.0,1876.315114376371,0.09721751810188356,19300.0,True,passes conservative screen,11.7,0.6971250518814203,0.05947721001059142,10
Wrist/hand,45-54,2868,13700.0,1617.66911473332,0.11804242408626602,13700.0,True,passes conservative screen,11.6,0.8695686054300574,0.07466142885338549,10
Wrist/hand,55-64,2464,12600.0,1725.9366477242936,0.13699634708328992,12600.0,True,passes conservative screen,12.5,1.03577155194671,0.08256322940488046,10
Wrist/hand,65-74,1829,10000.0,1704.3440941263518,0.17127022041973936,10000.0,True,passes conservative screen,10.9,1.4627202228101968,0.13445171116100102,10
Wrist/hand,75+,863,4700.0,974.8824753380013,0.20555794985150272,4700.0,True,passes conservative screen,7.2,1.0595467191975707,0.14637759862332225,10
Trunk/spine,0-4,463,1200.0,370.4069614042366,0.30525875410209424,1200.0,True,passes conservative screen,2.7,0.6594945380569684,0.24164797984878292,10
Trunk/spine,5-9,3786,10400.0,1839.8942946443135,0.1775377034618823,10400.0,True,passes conservative screen,5.6,0.4588752852722595,0.0820853700780696,10
Trunk/spine,10-14,14873,42900.0,6004.139510238542,0.13981865670620666,42900.0,True,passes conservative screen,7.6,0.3640464832752738,0.04760674441261466,10
Trunk/spine,15-17,11700,38100.0,4781.755011069744,0.12547820811739666,38100.0,True,passes conservative screen,9.6,0.4352604559920732,0.045267947354341864,10
Trunk/spine,18-24,9684,40400.0,4768.021586808479,0.11808972685369436,40400.0,True,passes conservative screen,12.7,0.6737063804684238,0.05294584205494746,10
Trunk/spine,25-34,11088,46700.0,5125.018763964734,0.10979972459940518,46700.0,True,passes conservative screen,19.0,0.8066115468784678,0.04253424266561204,10
Trunk/spine,35-44,8185,35500.0,3898.3081614550656,0.10967594110114397,35500.0,True,passes conservative screen,21.6,1.0322968431187958,0.047823454890331706,10
