Age_Display,Source_Year,n,estimate,cv_approx,annual_pass
31,2019,372,15800.0,0.10023225580914652,True
32,2019,373,15300.0,0.09395566024734645,True
33,2019,329,13600.0,0.08711411333094465,True
34,2019,319,13600.0,0.09559897223434144,True
35,2019,325,14400.0,0.10214882099883851,True
36,2019,296,12500.0,0.10464492902763584,True
37,2019,278,11900.0,0.10921444720037336,True
38,2019,267,12200.0,0.10415120096272787,True
39,2019,274,12100.0,0.10897947113272549,True
40,2019,204,9200.0,0.10125454820691146,True
41,2019,208,8900.0,0.1383258795643346,True
42,2019,199,8400.0,0.10318946105202637,True
43,2019,189,8100.0,0.13818451768770973,True
44,2019,199,8500.0,0.12066126584053344,True
45,2019,190,8100.0,0.13027779417220514,True
46,2019,152,7000.0,0.15765678836357763,True
47,2019,205,9500.0,0.14237682190595097,True
48,2019,174,7400.0,0.12633801820165644,True
49,2019,171,7300.0,0.1425377172063926,True
50,2019,156,7300.0,0.1266024928303382,True
51,2019,152,6500.0,0.140148474424088,True
52,2019,178,8300.0,0.12339374980619155,True
53,2019,150,7400.0,0.13114286125394856,True
54,2019,145,6600.0,0.1336514281931971,True
55,2019,144,5600.0,0.15447312337236152,True
56,2019,142,6400.0,0.1776178419421249,True
57,2019,149,7000.0,0.15780402121558967,True
58,2019,147,6600.0,0.17825832928383092,True
59,2019,148,6300.0,0.14929515552142278,True
60,2019,122,5400.0,0.13836348743842974,True
61,2019,119,5700.0,0.256402546564341,True
62,2019,109,4800.0,0.14963130273071498,True
63,2019,126,6200.0,0.20269524384838863,True
64,2019,129,6100.0,0.205421462766926,True
65,2019,102,5500.0,0.2452568625078826,True
66,2019,104,5000.0,0.217864661301877,True
67,2019,95,5000.0,0.2987714508362985,True
68,2019,118,5700.0,0.2912721917657291,True
69,2019,111,6100.0,0.32475236169072985,True
70,2019,101,5900.0,0.3281747313682218,True
71,2019,121,,0.3533360989816596,False
72,2019,118,6300.0,0.26353213626531447,True
73,2019,87,5100.0,0.31952531872564294,True
74,2019,83,,0.34245117080114973,False
75,2019,89,,0.3357586185549196,False
76,2019,79,,0.36816937656513044,False
77,2019,53,,0.4125652463109948,False
78,2019,51,3100.0,0.29373868558891864,True
79,2019,56,,0.3617829750478987,False
80,2019,48,,0.416660146941143,False
81,2019,44,,0.34054628616800514,False
82,2019,49,,0.41999305605848836,False
83,2019,32,,0.389442625335739,False
84,2019,36,1900.0,0.2221633401238836,True
85,2019,22,,0.44578597470107933,False
86,2019,16,,0.43654361711075335,False
87,2019,17,,0.4938815695121979,False
88,2019,14,,0.2764999789613446,False
89,2019,19,,0.29338760940359554,False
90,2019,46,,0.3391379959494411,False
0,2020,38,,0.31490795111436176,False
1,2020,139,3700.0,0.3093324648762847,True
2,2020,233,,0.3372243525448596,False
3,2020,228,6200.0,0.2487677759698577,True
4,2020,278,7000.0,0.2787699400700436,True
5,2020,296,6900.0,0.21940655749260174,True
6,2020,391,10200.0,0.26045230558632465,True
7,2020,472,10500.0,0.20780651841466508,True
8,2020,582,15100.0,0.22368368616598786,True
9,2020,810,19500.0,0.19883142076322688,True
10,2020,936,22300.0,0.19140419790582935,True
11,2020,1181,28000.0,0.18484928814821688,True
12,2020,1443,35100.0,0.17226024643692234,True
13,2020,1671,42400.0,0.15497918757942283,True
14,2020,1811,46600.0,0.15270323817140705,True
15,2020,1790,48800.0,0.17360480095113293,True
16,2020,1595,48300.0,0.14932763934974747,True
17,2020,1469,45000.0,0.11361038178920857,True
18,2020,922,35600.0,0.11090922987383443,True
19,2020,637,26300.0,0.12103138507584121,True
20,2020,535,21300.0,0.12536477046213199,True
21,2020,500,21200.0,0.11577831516272497,True
22,2020,443,18000.0,0.11346184416283342,True
23,2020,331,13800.0,0.1092590526601342,True
24,2020,352,13400.0,0.09912557196705384,True
25,2020,371,14900.0,0.10305719983868591,True
26,2020,349,14000.0,0.0912587802292099,True
27,2020,361,14500.0,0.09978915265231891,True
28,2020,323,12900.0,0.11302722551708572,True
29,2020,279,10200.0,0.11868565707781309,True
30,2020,270,10900.0,0.11106092168716415,True
31,2020,298,12200.0,0.0960288233844482,True
32,2020,276,11100.0,0.0988100992137806,True
33,2020,226,9000.0,0.12052101719908434,True
34,2020,235,9000.0,0.11661122071640083,True
35,2020,204,8200.0,0.13993830143672678,True
36,2020,224,8900.0,0.12026911478776517,True
37,2020,228,8900.0,0.10961595102539995,True
38,2020,194,7700.0,0.09488396790851249,True
39,2020,194,8400.0,0.13390389960290636,True
40,2020,175,7000.0,0.12485604600621014,True
41,2020,162,6500.0,0.11562888060433056,True
42,2020,165,7200.0,0.118262839191829,True
43,2020,140,6700.0,0.1422641760767824,True
44,2020,152,7300.0,0.12554343066682339,True
45,2020,160,8100.0,0.1175415127264449,True
46,2020,150,6200.0,0.13834723955794864,True
47,2020,123,5100.0,0.12012098655337941,True
48,2020,138,5800.0,0.14427787211084664,True
49,2020,143,5800.0,0.14351863396475217,True
50,2020,126,5200.0,0.124276996383639,True
51,2020,132,5100.0,0.13407790661520472,True
52,2020,112,4000.0,0.16687044848328797,True
53,2020,130,5300.0,0.12197122203487895,True
54,2020,104,4400.0,0.166402274828801,True
55,2020,135,6300.0,0.15917226444903013,True
56,2020,122,4800.0,0.16775273831255272,True
57,2020,112,5000.0,0.18422388660901032,True
58,2020,110,5000.0,0.18969200955100393,True
59,2020,112,5300.0,0.197715097641552,True
